주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자,제공기관코드,제공기관명,주소,전체주소,시도
122-2-000023,대청역,공영,노외,서울특별시 강남구 개포로 623-1,,162,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5.0,100.0,5.0,100.0,,,70000.0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.494949,127.0793181,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 개포로 623-1,서울특별시
122-2-000027,일원1동(기계식),공영,노외,서울특별시 강남구 양재대로 27길 5,,66,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5.0,100.0,5.0,100.0,,,70000.0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.48956502,127.0817444,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 양재대로 27길 5,서울특별시
122-2-000024,영희초교,공영,노외,서울특별시 강남구 일원로21,,185,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5.0,100.0,5.0,100.0,,,70000.0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.4923004,127.0811328,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 일원로21,서울특별시
122-2-000028,대왕초교,공영,노외,서울특별시 강남구 헌릉로 618길 8,,101,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5.0,100.0,5.0,100.0,,,70000.0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.46462117,127.1055381,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 헌릉로 618길 8,서울특별시
122-2-000026,밤고개로21길,공영,노외,,서울특별시 강남구 율현동 529,109,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5.0,100.0,5.0,100.0,,,70000.0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.4737607,127.1118862,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 율현동 529,서울특별시
122-2-000030,개포4문화센터,공영,노외,서울특별시 강남구 개포로24길33,,43,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5.0,300.0,5.0,300.0,,,120000.0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.4771384,127.0497487,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 개포로24길33,서울특별시
122-2-000032,논현 제1호,공영,노외,서울특별시 강남구 학동로6길 19,,88,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5.0,400.0,5.0,400.0,,,280000.0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.510693,127.0246023,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 학동로6길 19,서울특별시
122-2-000031,역삼문화공원 제1호 공영주차장,공영,노외,서울특별시 강남구 테헤란로7길 21,,247,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5.0,400.0,5.0,400.0,,,180000.0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5009602,127.0296765,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 테헤란로7길 21,서울특별시
122-2-000033,논현제2호,공영,노외,서울특별시 강남구 학동로 20길 13,,78,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5.0,400.0,5.0,400.0,,,280000.0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5122317,127.0285547,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 학동로 20길 13,서울특별시
122-3-000001,구청 부설,공영,부설,서울특별시 강남구 학동로426,,120,2,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,5.0,300.0,5.0,300.0,,,,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.51796816,127.0470598,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 학동로426,서울특별시
122-3-000002,삼성로별관 부설,공영,부설,서울특별시 강남구 삼성로628,,42,2,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,5.0,300.0,5.0,300.0,,,,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.51591066,127.0521228,,2024-07-05,3220000,서울특별시 강남구,,서울특별시 강남구 삼성로628,서울특별시
105-1-000001,회기역 주변,공영,노상,서울특별시 동대문구 망우로21,서울특별시 동대문구 휘경동 312-17,75,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10.0,500.0,10.0,500.0,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구시설관리공단,02-6929-0895,37.58829448,127.055742,,2024-07-04,3050000,서울특별시 동대문구,,서울특별시 동대문구 망우로21,서울특별시
