충전소명,주소,상세주소,충전기ID,충전방식,충전상태,설치년도,위도,경도
강화풍물시장 공영주차장,인천광역시 강화군 강화읍 갑곳리 849, 고엽제전우회 건물 옆,1,단독,사용가능,2017,37.4670794284733,126.641597531126
계산1택지 공영주차장,인천광역시 계양구 계산동 1060, 구두수선방 옆,1,단독,사용가능,2017,37.4560499608337,126.705255744089
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,인천광역시 서구 원삭로 160, 주차장 입구 우측 완속충전기 옆,1,단독,사용가능,2017,37.490800738006,126.684909521723
영흥수산물직판장 주차장,인천광역시 옹진군 영흥면 내리 8-165, 공중화장실 옆,1,단독,사용가능,2017,37.2549580022328,126.497126036386
도원역 부근 공영주차장,인천광역시 중구 도원동 5-7, 주차장 입구,1,단독,사용가능,2017,37.5207477363328,126.697048382748
송도골프,인천광역시 연수구 능허대로 236,,2,단독,사용가능,2018,37.741355714451,126.492602915597
덕산국민여가캠핑장,인천광역시 강화군 내가면 고천리 산494,,1,단독,사용가능,2018,37.7171706942633,126.381153158338
인천시청,인천광역시 남동구 정각로 29,,1,단독,사용가능,2018,37.5406724386308,126.736747596594
송도컨벤시아,인천광역시 연수구 센트럴로 123,", 지하주차장 1층",1,단독,사용가능,2018,37.4148715306309,126.650561495942
온수리 공영 주차장,인천광역시 강화군 길상면 온수리 546-34,,1,단독,사용가능,2018,37.5618714784539,126.754892057085
모탱이공원,인천광역시 계양구 동양동 607-1,,1,단독,사용가능,2018,37.3881431004052,126.645553109611
현대시장 공영주차장,인천광역시 동구 송림동 49-172,,1,단독,사용가능,2018,37.4148715306309,126.650561495942
인천나비공원 주차장,인천광역시 부평구 청천동 125-3,,1,단독,사용가능,2018,37.6391588066172,126.492221851384
가좌2동 행정복지센터,인천광역시 서구 가좌동 30-105,,1,단독,사용가능,2018,37.4698162202533,126.708532308798
이마트 동인천점,인천광역시 중구 인중로 134,,1,단독,사용가능,2018,37.4789078088984,126.477481743937
인천공항물류단지 행정지원센터,인천광역시 중구 공항동로 296번길 69,,1,단독,사용가능,2018,37.4770728254516,126.64709920414
월미공원 제2주차장,인천광역시 중구 북성동1가,97-32,1,단독,사용가능,2018,37.4700788377632,126.603237142771
신기남부종합시장 주차장,인천광역시 미추홀구 주안동 1311-17,,1,단독,사용가능,2018,37.4666187184224,126.629178923114
인천교통공사 본사,인천광역시 남동구 경인로 674,,1,단독,사용가능,2018,37.4463419871296,126.678458525553
부평깡시장 공영주차장,인천광역시 부평구 부흥로 315,,1,단독,사용가능,2018,37.5326554019386,126.747537862184
갈산역 공영주차장,인천광역시 부평구 갈산동 192,,1,단독,사용가능,2018,37.4986708187109,126.726850928746
서운체육공원 주차장,인천광역시 계양구 서운동 207,,11,동시,사용가능,2018,37.5158637228679,126.723126349354
서운체육공원 주차장,인천광역시 계양구 서운동 207,,12,동시,사용가능,2018,37.5326554019386,126.747537862184
열우물경기장,인천광역시 부평구 십정동 109-2,,11,동시,사용가능,2018,37.5195650696991,126.610873870713
열우물경기장,인천광역시 부평구 십정동 109-2,,12,동시,사용가능,2018,37.5195650696991,126.610873870713
서곶근린공원 제1주차장,인천광역시 서구 연희동 산150-5,,11,동시,사용가능,2018,37.5471148607021,126.681492039519
서곶근린공원 제1주차장,인천광역시 서구 연희동 산150-5,,12,동시,사용가능,2018,37.3939816113469,126.626783267157
아트센터인천,인천광역시 연수구 아트센터대로 222,,11,동시,사용가능,2018,37.3939816113469,126.626783267157
아트센터인천,인천광역시 연수구 아트센터대로 222,,12,동시,사용가능,2018,37.5471148607021,126.681492039519
연수구청,인천광역시 연수구 원인재로 115,,11,동시,사용가능,2018,37.409493814977,126.678337878586
연수구청,인천광역시 연수구 원인재로 115,,12,동시,충전중,2018,37.409493814977,126.678337878586
십리포해수욕장 주차장,인천광역시 옹진군 영흥면 영흥북로 382 ,,11,동시,사용가능,2018,37.2814678499088,126.486473682553
십리포해수욕장 주차장,인천광역시 옹진군 영흥면 영흥북로 382 ,,12,동시,사용가능,2018,37.2814678499088,126.486473682553
소래제1주차장,인천광역시 남동구 논현동 754-4,,11,동시,사용가능,2018,37.3977947332397,126.736446998603
소래제1주차장,인천광역시 남동구 논현동 754-4,,12,동시,사용가능,2018,37.5432821276251,126.71671423743
인천광역시 교통연수원,인천광역시 계양구 경명대로 990,인천광역시 계양구 경명대로 990,1,단독,사용가능,2018,37.5432821276251,126.71671423743
인천광역시 교통연수원,인천광역시 계양구 경명대로 990,인천광역시 계양구 경명대로 990,11,동시,사용가능,2018,37.3977947332397,126.736446998603
인천광역시 교통연수원,인천광역시 계양구 경명대로 990,인천광역시 계양구 경명대로 990,12,동시,사용가능,2018,37.5432821276251,126.71671423743
늘솔길공원 3주차장,인천광역시 남동구 논현동 762-3,,11,동시,사용가능,2018,37.3891482459322,126.720616392212
늘솔길공원 3주차장,인천광역시 남동구 논현동 762-3,,12,동시,사용가능,2018,37.3891482459322,126.720616392212
남동복지관,인천광역시 남동구 소래로 645,,11,동시,사용가능,2018,37.4477147022117,126.733083722994
남동복지관,인천광역시 남동구 소래로 645,,12,동시,충전중,2018,37.4477147022117,126.733083722994
서창2호 공영주차장,인천광역시 남동구 서창동 558-3,,11,동시,사용가능,2018,37.4357625312253,126.747575214918
서창2호 공영주차장,인천광역시 남동구 서창동 558-3,,12,동시,사용가능,2018,37.4357625312253,126.747575214918
롯데마트 영종도점,인천광역시 중구 흰바위로 51,,11,동시,사용가능,2018,37.4926741879123,126.491214087233
롯데마트 영종도점,인천광역시 중구 흰바위로 51,,12,동시,사용가능,2018,37.5175776394855,126.659248551367
인천서구청,인천광역시 서구 서곶로 307,,11,동시,사용가능,2018,37.5450349947206,126.675597819387
인천서구청,인천광역시 서구 서곶로 307,,12,동시,사용가능,2018,37.4926741879123,126.491214087233
인천서구청소년수련관,인천광역시 서구 원창로 92,,11,동시,사용가능,2018,37.5450349947206,126.675597819387
인천서구청소년수련관,인천광역시 서구 원창로 92,,12,동시,사용가능,2018,37.5175776394855,126.659248551367
계산3동행정복지센터 주차장,인천광역시 계양구 계산새로 7,,1,단독,사용가능,2019,37.5377344603453,126.728978554094
동화마을 공영주차장,인천광역시 중구 송월동2가 4,,1,단독,사용가능,2019,37.4790784666592,126.618877183566
영종역남부 공영주차장,인천광역시 중구 운북동 464,,1,단독,사용가능,2019,37.4959953421658,126.471992883812
국립생물자원관,인천광역시 서구 환경로 42,,1,단독,사용가능,2019,37.7549549358487,126.468553923841
영종 하늘문화센터,인천광역시 중구 영종해안북로 1000-26,,1,단독,사용가능,2019,37.5108624859133,126.524106429817
강화경기장,인천광역시 강화군 강화읍 강화대로 603,,21,동시,사용가능,2019,37.7817728170658,126.278962605148
강화경기장,인천광역시 강화군 강화읍 강화대로 603,,22,동시,사용가능,2019,37.5691386523628,126.638534371391
대룡리 공영주차장,인천광역시 강화군 교동면 대룡리 466-19,,21,동시,사용가능,2019,37.7817728170658,126.278962605148
대룡리 공영주차장,인천광역시 강화군 교동면 대룡리 466-19,,22,동시,사용가능,2019,37.4475889154018,126.700055774871
문화예술회관공영주차장,인천광역시 남동구 예술로 149,,21,동시,사용가능,2019,37.7549549358487,126.468553923841
