ADM_CD,행정동명,충전소수,충전기수,지역,위도,경도
11010530,사직동,69,284,서울,37.572908693333844,126.97181347909161
11010540,삼청동,4,5,서울,37.5812934757155,126.98188397444001
11010550,부암동,4,5,서울,37.59685546050488,126.96238705893761
11010560,평창동,16,30,서울,37.60893549519853,126.9695862848373
11010570,무악동,21,43,서울,37.57610860254935,126.95823207472758
11010580,교남동,26,126,서울,37.570243565595796,126.96361119665872
11010600,가회동,9,43,서울,37.57812122968718,126.98759479494795
11010610,종로1·2·3·4가동,74,208,서울,37.572502522138386,126.98489946687911
11010630,종로5·6가동,14,41,서울,37.57380018466954,127.00188647727595
11010640,이화동,24,36,서울,37.579294087968094,127.00108550920537
11010670,창신1동,6,13,서울,37.57324397280925,127.014841562873
11010690,창신3동,11,27,서울,37.579173658967825,127.01305062451212
11010700,숭인1동,8,15,서울,37.576807746234216,127.0158879810036
11010710,숭인2동,12,26,서울,37.574407773721845,127.02157406404339
11010720,청운효자동,6,13,서울,37.57975682335187,126.9718074492323
11010730,혜화동,24,45,서울,37.586795158827,126.99642471861472
11020520,소공동,62,227,서울,37.56253207566013,126.97455420741866
11020540,회현동,48,153,서울,37.55701813864735,126.9767218904698
11020550,명동,88,287,서울,37.56518820012715,126.98417135752194
11020570,필동,13,36,서울,37.559353723874764,126.9956603136757
11020580,장충동,26,55,서울,37.55667636947895,127.00396626698918
11020590,광희동,21,51,서울,37.56679559741104,127.0056968616405
11020600,을지로동,8,25,서울,37.56622007793629,127.0004132840698
11020650,신당5동,15,70,서울,37.56171413679942,127.02163465054738
11020670,황학동,17,107,서울,37.57016300741031,127.02153696120655
11020680,중림동,27,103,서울,37.55684789406291,126.96518321695802
11020690,신당동,26,66,서울,37.56690223599899,127.01444958341985
11020700,다산동,6,13,서울,37.55153291149529,127.006650875097
11020710,약수동,12,37,서울,37.547863853994436,127.00661951173838
11020720,청구동,19,48,서울,37.55770183298118,127.01766431104319
11020730,동화동,13,44,서울,37.560202389613266,127.01672487612649
11030510,후암동,7,8,서울,37.55104145397428,126.97692521896575
11030520,용산2가동,6,9,서울,37.543278278843346,126.98708816346145
11030530,남영동,24,103,서울,37.54194956903001,126.97604310192898
11030570,원효로2동,27,64,서울,37.534632154671414,126.95087226582909
11030580,효창동,14,30,서울,37.54153962625772,126.96078410345193
11030590,용문동,6,12,서울,37.538860326018074,126.95707542520852
11030630,이촌1동,35,122,서울,37.51960548355065,126.9745705504236
11030640,이촌2동,5,13,서울,37.52456009015903,126.95662460126431
11030650,이태원1동,10,15,서울,37.531973498307735,126.99194530268521
11030660,이태원2동,9,19,서울,37.54110901276151,126.98924012802333
11030690,서빙고동,18,38,서울,37.5226273852151,126.98398470173078
11030700,보광동,3,12,서울,37.529136618816345,126.99743583848483
11030710,청파동,6,25,서울,37.54622694497889,126.96584928122188
11030720,원효로1동,39,107,서울,37.53805637127316,126.96838649047285
11030730,한강로동,110,572,서울,37.528604724108284,126.96674198712239
11030740,한남동,61,151,서울,37.53613421088736,127.00487358468766
11040520,왕십리2동,26,66,서울,37.56091132821932,127.0256836429254
11040540,마장동,33,82,서울,37.56740990082387,127.04046291336556
11040550,사근동,4,25,서울,37.55464996834335,127.04560105945467
11040560,행당1동,28,86,서울,37.55890495074555,127.03722902270025
11040570,행당2동,61,300,서울,37.55617319798147,127.02845951048965
11040580,응봉동,17,56,서울,37.552247708633665,127.0344092403491
11040590,금호1가동,17,81,서울,37.55394837277515,127.02554744293279
11040620,금호4가동,45,130,서울,37.54596068464459,127.018962997353
11040650,성수1가1동,35,153,서울,37.542793172856086,127.04490959128368
11040660,성수1가2동,46,104,서울,37.54847588966386,127.04800201583254
11040670,성수2가1동,21,79,서울,37.53817953309758,127.05617297602059
11040680,성수2가3동,77,231,서울,37.54595503464305,127.05766399912403
11040690,송정동,9,22,서울,37.55483443047216,127.06990307360894
11040700,용답동,30,54,서울,37.560718442686955,127.06029683934891
11040710,왕십리도선동,43,221,서울,37.56764842235524,127.02661295676172
11040720,금호2·3가동,31,128,서울,37.55236694740291,127.01964702976588
11040730,옥수동,38,122,서울,37.54342498668676,127.01415877459391
11050530,화양동,12,29,서울,37.54274391727306,127.071813636018
11050540,군자동,24,68,서울,37.55088471739378,127.07241890938889
11050550,중곡1동,3,4,서울,37.55898298425657,127.07958570992675
11050560,중곡2동,7,10,서울,37.56080783308232,127.08506688338889
11050570,중곡3동,15,20,서울,37.567756419935144,127.08423230487213
11050580,중곡4동,3,7,서울,37.56606755699911,127.0880191433237
11050590,능동,13,21,서울,37.55261006934696,127.07911443388353
11050600,구의1동,9,34,서울,37.54313144397412,127.0820642754159
11050610,구의2동,11,20,서울,37.5500035629293,127.09243322377449
11050620,구의3동,40,141,서울,37.537358178442105,127.09416686040026
11050630,광장동,48,109,서울,37.547197529900146,127.10354569880948
11050640,자양1동,13,28,서울,37.53722801496415,127.08226086393246
11050650,자양2동,21,63,서울,37.530398988835664,127.08347586532145
11050660,자양3동,56,219,서울,37.53551069628743,127.07184896676895
11050670,자양4동,18,46,서울,37.53613162683586,127.06666071458694
11060710,회기동,6,8,서울,37.59060253451291,127.05468430511263
11060720,휘경1동,25,55,서울,37.59208715967804,127.06462157726105
11060730,휘경2동,35,104,서울,37.584843442125255,127.07072308675613
11060800,청량리동,23,57,서울,37.587530745397544,127.04646750643758
11060810,용신동,39,111,서울,37.57538393095307,127.03396781646569
11060820,제기동,24,53,서울,37.583570887328456,127.03559037788587
11060830,전농1동,34,103,서울,37.57648224873849,127.04872707752946
11060840,전농2동,36,116,서울,37.58022384112734,127.05928502145646
11060860,답십리2동,38,131,서울,37.57098329366056,127.0614535859864
11060870,장안1동,27,115,서울,37.56905947004508,127.07226700442072
11060880,장안2동,42,83,서울,37.57455756182284,127.07266052270533
11060890,이문1동,20,66,서울,37.59736666615369,127.06067650535147
11060900,이문2동,29,111,서울,37.60262263527964,127.06681150322144
11060910,답십리1동,41,198,서울,37.57205934286669,127.05141641109637
11070520,면목2동,20,46,서울,37.58896851480579,127.07758338212527
11070540,면목4동,18,43,서울,37.573768076944745,127.08417114838224
11070550,면목5동,10,58,서울,37.58195632907084,127.0800686535975
11070570,면목7동,37,84,서울,37.578273555468606,127.08795094468881
11070590,상봉1동,24,106,서울,37.60113230546161,127.09193865992928
11070600,상봉2동,16,44,서울,37.59658002097829,127.08960797586069
11070610,중화1동,9,36,서울,37.59711060220892,127.08203631916777
11070620,중화2동,22,33,서울,37.59604100306782,127.07459310912206
11070640,묵1동,55,239,서울,37.615539259794815,127.0830795600332
11070650,묵2동,8,29,서울,37.61302447031273,127.07436170555886
11070680,망우3동,2,3,서울,37.59205260694004,127.09599843652933
11070690,신내1동,87,431,서울,37.61234556070845,127.10368663769633
11070700,신내2동,27,86,서울,37.61101767844904,127.09423686971634
11070710,면목본동,10,16,서울,37.58925194369442,127.08602225334894
11070720,면목3·8동,33,60,서울,37.58440354212732,127.09289748322347
11070730,망우본동,53,154,서울,37.6036799193528,127.10438969111361
11080580,돈암1동,29,129,서울,37.59967043265971,127.02375221464685
11080590,돈암2동,39,177,서울,37.597833983235354,127.01541438731127
11080600,안암동,26,108,서울,37.587581371033004,127.02870748367046
11080610,보문동,19,75,서울,37.58331567831299,127.01782972131561
11080620,정릉1동,29,109,서울,37.60276183206824,127.0163499652625
11080630,정릉2동,19,49,서울,37.60335962023588,127.01061432659031
11080640,정릉3동,14,33,서울,37.60915195213426,127.00124584043424
11080650,정릉4동,27,123,서울,37.616456898064264,127.0062367391632
11080660,길음1동,24,158,서울,37.607667292548044,127.0211092857379
11080680,길음2동,33,193,서울,37.608019681899854,127.02774713980723
11080710,월곡1동,20,150,서울,37.60846713868173,127.03725420154413
11080720,월곡2동,26,100,서울,37.601621484021976,127.04237986695797
11080760,장위1동,15,47,서울,37.619494221933095,127.04910730436275
11080770,장위2동,8,11,서울,37.61095419612781,127.05587964288999
11080780,장위3동,29,96,서울,37.62041094581233,127.04988982107216
11080810,성북동,7,16,서울,37.593541600177254,127.00379352878481
11080820,삼선동,33,154,서울,37.58525357827321,127.01253118350529
11080830,동선동,14,43,서울,37.594182285072165,127.01665344151661
11080840,종암동,45,157,서울,37.59858549568597,127.03365878938145
11080850,석관동,34,144,서울,37.61098447740097,127.06461523883725
11090600,번1동,19,69,서울,37.636744751157096,127.0275261112054
11090610,번2동,16,34,서울,37.62993772718308,127.03628777729355
11090620,번3동,27,63,서울,37.625260023544854,127.04215457668512
11090630,수유1동,7,21,서울,37.63199079417005,127.01419744242966
11090640,수유2동,9,29,서울,37.64449248523699,127.01891079158065
11090650,수유3동,8,11,서울,37.64021064436859,127.02560161866727
11090690,삼양동,23,98,서울,37.62525685503974,127.01611463899445
11090700,미아동,16,33,서울,37.63024602661005,127.02640909733145
11090710,송중동,45,166,서울,37.616957848163594,127.03501833111255
11090720,송천동,16,26,서울,37.61675039712719,127.02482995808136
11090730,삼각산동,30,281,서울,37.616847124473395,127.0169503652327
11090740,우이동,9,27,서울,37.65852476285349,127.01160951767942
11090750,인수동,9,27,서울,37.641188478045464,127.01108879932015
11100510,쌍문1동,27,74,서울,37.65125729805635,127.02100379158564
11100520,쌍문2동,15,36,서울,37.657653097306216,127.03645479623252
11100530,쌍문3동,9,38,서울,37.6463780854329,127.0290942618836
11100540,쌍문4동,21,70,서울,37.6573366944515,127.03128075696264
